Year,Month,Day,Close,AdjustedClose
1983,6,20,2409.70,2403.58
1983,6,21,2423.80,2417.64
1983,6,22,2451.80,2445.57
1983,6,23,2455.40,2449.16
1983,6,24,2467.00,2460.74
1983,6,27,2435.50,2429.32
1983,6,28,2411.50,2405.38
1983,6,29,2430.90,2424.73
1983,6,30,2447.00,2440.79
1983,7,1,0.00,0.00
1983,7,4,2460.00,2453.75
1983,7,5,2447.10,2440.89
1983,7,6,2480.50,2474.20
1983,7,7,2478.60,2472.31
1983,7,8,2471.30,2465.02
1983,7,11,2483.70,2477.39
1983,7,12,2454.60,2448.37
1983,7,13,2439.70,2433.50
1983,7,14,2452.10,2445.87
1983,7,15,2443.90,2437.69
1983,7,18,2439.60,2433.40
1983,7,19,2448.80,2442.58
1983,7,20,2493.70,2487.37
1983,7,21,2494.10,2487.77
1983,7,22,2493.90,2487.57
1983,7,25,2493.40,2487.07
1983,7,26,2515.40,2509.01
1983,7,27,2517.80,2511.41
1983,7,28,2509.20,2502.83
1983,7,29,2477.60,2471.31
1983,8,1,0.00,0.00
1983,8,2,2466.10,2459.84
1983,8,3,2459.70,2453.45
1983,8,4,2439.20,2433.01
1983,8,5,2435.60,2429.41
1983,8,8,2402.00,2395.90
1983,8,9,2392.10,2386.03
1983,8,10,2395.40,2389.32
1983,8,11,2387.20,2381.14
1983,8,12,2393.30,2387.22
1983,8,15,2412.80,2406.67
1983,8,16,2407.80,2401.69
1983,8,17,2434.70,2428.52
1983,8,18,2445.00,2438.79
1983,8,19,2439.90,2433.70
1983,8,22,2454.90,2448.67
1983,8,23,2450.70,2444.48
1983,8,24,2447.50,2441.28
1983,8,25,2435.30,2429.12
1983,8,26,2441.40,2435.20
1983,8,29,2441.90,2435.70
1983,8,30,2450.50,2444.28
1983,8,31,2483.10,2476.79
1983,9,1,2501.70,2495.35
1983,9,2,2512.30,2505.92
1983,9,5,0.00,0.00
1983,9,6,2553.80,2547.31
1983,9,7,2562.80,2556.29
1983,9,8,2578.20,2571.65
1983,9,9,2577.00,2570.46
1983,9,12,2575.50,2568.96
1983,9,13,2560.60,2554.10
1983,9,14,2568.90,2562.38
1983,9,15,2544.80,2538.34
1983,9,16,2533.30,2526.87
1983,9,19,2550.10,2543.62
1983,9,20,2577.00,2570.46
1983,9,21,2571.10,2564.57
1983,9,22,2587.10,2580.53
1983,9,23,2592.70,2586.12
1983,9,26,2598.30,2591.70
1983,9,27,2579.80,2573.25
1983,9,28,2561.60,2555.09
1983,9,29,2540.10,2533.65
1983,9,30,2499.60,2493.25
1983,10,3,2466.20,2459.94
1983,10,4,2471.90,2465.62
1983,10,5,2478.80,2472.51
1983,10,6,2505.30,2498.94
1983,10,7,2517.10,2510.71
1983,10,10,0.00,0.00
1983,10,11,2505.80,2499.44
1983,10,12,2485.20,2478.89
1983,10,13,2487.00,2480.68
1983,10,14,2480.70,2474.40
1983,10,17,2481.50,2475.20
1983,10,18,2449.80,2443.58
1983,10,19,2435.30,2429.12
1983,10,20,2444.30,2438.09
1983,10,21,2425.20,2419.04
1983,10,24,2422.30,2416.15
1983,10,25,2416.10,2409.96
1983,10,26,2384.50,2378.44
1983,10,27,2371.90,2365.88
1983,10,28,2360.30,2354.31
1983,10,31,2361.10,2355.10
1983,11,1,2374.80,2368.77
1983,11,2,2403.20,2397.10
1983,11,3,2404.50,2398.39
1983,11,4,2397.70,2391.61
1983,11,7,2398.60,2392.51
1983,11,8,2411.30,2405.18
1983,11,9,2439.90,2433.70
1983,11,10,2457.00,2450.76
1983,11,11,2473.40,2467.12
1983,11,14,2476.20,2469.91
1983,11,15,2459.00,2452.76
1983,11,16,2454.90,2448.67
1983,11,17,2463.20,2456.94
1983,11,18,2453.20,2446.97
1983,11,21,2451.60,2445.37
1983,11,22,2470.90,2464.63
1983,11,23,2475.50,2469.21
1983,11,24,0.00,0.00
1983,11,25,2495.40,2489.06
1983,11,28,2507.50,2501.13
1983,11,29,2539.60,2533.15
1983,11,30,2540.90,2534.45
1983,12,1,2558.00,2551.50
1983,12,2,2550.20,2543.72
1983,12,5,2540.20,2533.75
1983,12,6,2536.80,2530.36
1983,12,7,2549.30,2542.83
1983,12,8,2535.50,2529.06
1983,12,9,2532.00,2525.57
1983,12,12,2536.30,2529.86
1983,12,13,2538.60,2532.15
1983,12,14,2530.30,2523.87
1983,12,15,2515.20,2508.81
1983,12,16,2506.80,2500.43
